validation_scheme,fold,model,test_load,n_train_files,n_test_files,file_leakage_count,best_params,training_seconds,inference_seconds,model_size_bytes,macro_f1,balanced_accuracy,accuracy,macro_precision,macro_recall,recall_N,recall_B,recall_IR,recall_OR
lolo,1,logistic_regression,0,42,14,0,"{""model__C"": 0.1}",0.07152739999582991,0.0001894999877549708,4084,0.7976190476190476,0.7976190476190476,0.7857142857142857,0.7976190476190476,0.7976190476190476,1.0,0.6666666666666666,0.6666666666666666,0.8571428571428571
lolo,1,rbf_svm,0,42,14,0,"{""model__C"": 3.0, ""model__gamma"": ""scale""}",0.05128889996558428,0.00021739996736869216,18208,0.5238095238095238,0.5476190476190476,0.7142857142857143,0.5059523809523809,0.5476190476190476,0.0,0.6666666666666666,0.6666666666666666,0.8571428571428571
lolo,1,random_forest,0,42,14,0,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1}",3.9249309000442736,0.008473399968352169,865062,0.8166666666666667,0.7976190476190476,0.7857142857142857,0.8541666666666666,0.7976190476190476,1.0,0.6666666666666666,0.6666666666666666,0.8571428571428571
lolo,1,mlp,0,42,14,0,"{""dropout"": 0.1, ""epochs"": 6, ""weight_decay"": 0.0001}",4.376175999990664,0.003875700000207871,57232,0.7767857142857143,0.7976190476190476,0.7857142857142857,0.8642857142857143,0.7976190476190477,1.0,1.0,0.3333333333333333,0.8571428571428571
lolo,2,logistic_regression,1,42,14,0,"{""model__C"": 0.1}",0.09709200001088902,0.00026489997981116176,4084,0.945054945054945,0.9642857142857143,0.9285714285714286,0.9375,0.9642857142857143,1.0,1.0,1.0,0.8571428571428571
lolo,2,rbf_svm,1,42,14,0,"{""model__C"": 1.0, ""model__gamma"": 0.01}",0.06394480000017211,0.00028089998522773385,21307,0.6517857142857143,0.7142857142857143,0.7142857142857143,0.6041666666666666,0.7142857142857143,1.0,1.0,0.0,0.8571428571428571
lolo,2,random_forest,1,42,14,0,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1}",4.261394599976484,0.007909199979621917,970287,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lolo,2,mlp,1,42,14,0,"{""dropout"": 0.1, ""epochs"": 12, ""weight_decay"": 0.0001}",3.321036399982404,0.003392399987205863,57232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lolo,3,logistic_regression,2,42,14,0,"{""model__C"": 10.0}",0.0918254999560304,0.00023369997506961226,4084,0.945054945054945,0.9642857142857143,0.9285714285714286,0.9375,0.9642857142857143,1.0,1.0,1.0,0.8571428571428571
lolo,3,rbf_svm,2,42,14,0,"{""model__C"": 3.0, ""model__gamma"": 0.01}",0.06993600004352629,0.0003011000226251781,19975,0.945054945054945,0.9642857142857143,0.9285714285714286,0.9375,0.9642857142857143,1.0,1.0,1.0,0.8571428571428571
lolo,3,random_forest,2,42,14,0,"{""model__max_features"": 0.5, ""model__min_samples_leaf"": 2}",4.358726000005845,0.011569099966436625,750643,0.945054945054945,0.9642857142857143,0.9285714285714286,0.9375,0.9642857142857143,1.0,1.0,1.0,0.8571428571428571
lolo,3,mlp,2,42,14,0,"{""dropout"": 0.2, ""epochs"": 5, ""weight_decay"": 0.001}",3.3119874999974854,0.003563600010238588,57232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lolo,4,logistic_regression,3,42,14,0,"{""model__C"": 10.0}",0.10226509999483824,0.00023850001161918044,4084,0.945054945054945,0.9642857142857143,0.9285714285714286,0.9375,0.9642857142857143,1.0,1.0,1.0,0.8571428571428571
lolo,4,rbf_svm,3,42,14,0,"{""model__C"": 3.0, ""model__gamma"": 0.01}",0.06819359998917207,0.0002758000046014786,20419,0.8785714285714287,0.8809523809523809,0.8571428571428571,0.9017857142857143,0.8809523809523809,1.0,1.0,0.6666666666666666,0.8571428571428571
lolo,4,random_forest,3,42,14,0,"{""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 2}",4.408424699970055,0.009260699967853725,822423,0.8682692307692308,0.8809523809523809,0.8571428571428571,0.9,0.8809523809523809,1.0,1.0,0.6666666666666666,0.8571428571428571
lolo,4,mlp,3,42,14,0,"{""dropout"": 0.1, ""epochs"": 5, ""weight_decay"": 0.0001}",3.0073630000115372,0.0040979000041261315,57232,0.945054945054945,0.9642857142857143,0.9285714285714286,0.9375,0.9642857142857143,1.0,1.0,1.0,0.8571428571428571
